ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
579,Kiara Ben,Male,Ahmedabad,Gujarat,76930,Joint,Aadhar,5.84E+11,Commercial,24,25-01-2025,,24-03-2025,Rejected,6783,Vidur Sule,Installation completed
580,Faiyaz Kuruvilla,Female,Hyderabad,Telangana,535568,Joint,Aadhar,2.27E+11,Residential,42,21-03-2024,02-04-2024,16-05-2024,Approved,9995,Tarini Rajan,Documents verification in progress
581,Tushar Jani,Male,Chennai,Tamil Nadu,943894,Joint,PAN,wFWxI5473t,Commercial,1,22-09-2024,30-10-2024,21-11-2024,Rejected,7901,Misha Dalal,Installation pending
582,Mahika Ghosh,Female,Hyderabad,Telangana,684484,Joint,Aadhar,9.17E+11,Commercial,8,15-01-2024,07-02-2024,13-04-2024,Approved,8337,Kartik Jain,Documents verification in progress
583,Shamik Sangha,Male,Mumbai,Maharashtra,707713,Joint,Passport,P7175485,Commercial,5,12-02-2024,20-02-2024,20-04-2024,Pending,2434,Aarav Vala,Installation completed
584,Prerak Chander,Male,Hyderabad,Telangana,234103,Joint,Voter_Id,VOT970820,Residential,5,17-09-2024,31-10-2024,14-10-2024,Approved,5753,Yashvi Ganguly,Installation completed
585,Ryan Ahuja,Female,Jaipur,Rajasthan,920787,Joint,PAN,eKLsi7919V,Residential,42,04-06-2024,27-07-2024,01-07-2024,Pending,6122,Anahi Cherian,Installation completed
586,Faiyaz Ramachandran,Male,Delhi,Delhi,948478,Joint,Voter_Id,VOT807226,Commercial,15,21-04-2025,,29-05-2025,Pending,8547,Shray Singh,KYC failed
587,Tarini Sami,Male,Ahmedabad,Gujarat,498598,Individual,Aadhar,2.48E+11,Commercial,28,19-10-2024,03-11-2024,19-11-2024,Pending,1222,Divyansh Loke,Documents verification in progress
588,Seher Khosla,Male,Kolkata,West Bengal,835956,Joint,Passport,P9396971,Residential,24,11-01-2024,22-01-2024,29-02-2024,Pending,2515,Drishya Dubey,Documents verification in progress
589,Anvi Sanghvi,Female,Hyderabad,Telangana,877935,Individual,Aadhar,668655342,Commercial,49,27-02-2025,15-03-2025,12-05-2025,Rejected,7145,Ela Dua,Installation completed
590,Vidur Kashyap,Female,Jaipur,Rajasthan,89484,Joint,Aadhar,4.48E+11,Commercial,9,12-06-2024,27-06-2024,01-08-2024,Approved,4062,Pihu Bhakta,Installation completed
591,Yasmin Basu,Male,Mumbai,Maharashtra,523266,Joint,Passport,P6581944,Residential,37,22-09-2024,08-10-2024,02-12-2024,Rejected,1923,Divit Kar,KYC failed
592,Manikya Sule,Male,Bangalore,Karnataka,766488,Joint,Voter_Id,VOT627271,Residential,26,27-10-2024,21-11-2024,20-11-2024,Pending,3992,Hrishita Majumdar,Installation pending
593,Saira Reddy,Female,Kolkata,West Bengal,136510,Joint,Voter_Id,VOT374147,Residential,35,25-08-2024,,19-11-2024,Rejected,2600,Miraya Ray,Installation completed
594,Samar Thaker,Male,Chennai,Tamil Nadu,618314,Individual,Voter_Id,VOT936120,Commercial,31,18-05-2025,18-06-2025,04-08-2025,Rejected,3671,Ehsaan Bhagat,Installation completed
595,Indrajit Tiwari,Female,Chennai,Tamil Nadu,521547,Joint,Voter_Id,VOT581905,Commercial,27,13-04-2025,11-05-2025,01-05-2025,Pending,5131,Hrishita Savant,Installation completed
596,Hazel Bora,Female,Pune,Maharashtra,237387,Joint,PAN,WZLgf9394Z,Commercial,37,30-10-2024,03-11-2024,14-11-2024,Pending,3030,Gokul Borah,KYC failed
597,Yuvaan Sekhon,Female,Pune,Maharashtra,686500,Individual,PAN,MzGoB7143O,Commercial,35,15-04-2024,10-05-2024,26-05-2024,Rejected,7619,Hridaan Chadha,KYC failed
598,Rati Vaidya,Male,Delhi,Delhi,945178,Individual,PAN,NFHxq8911C,Residential,26,14-02-2025,03-03-2025,13-05-2025,Rejected,5124,Kaira Bala,Installation pending
599,Fateh Uppal,Male,Ahmedabad,Gujarat,825467,Individual,Aadhar,5.16E+11,Residential,22,01-11-2024,02-12-2024,17-11-2024,Approved,8270,Mannat Ramaswamy,Documents verification in progress
600,Reyansh Korpal,Female,Delhi,Delhi,37971,Joint,Voter_Id,VOT600858,Commercial,14,06-10-2024,,07-10-2024,Approved,5391,Aarna Baral,KYC failed
601,Dhanush Chahal,Male,Jaipur,Rajasthan,268159,Individual,Voter_Id,VOT197256,Residential,33,01-09-2024,29-10-2024,12-10-2024,Approved,7549,Khushi Shan,Installation completed
602,Mohanlal Brar,Female,Mumbai,Maharashtra,660078,Individual,Aadhar,5.89E+11,Commercial,44,25-04-2025,23-05-2025,09-05-2025,Rejected,1390,Akarsh Boase,KYC failed
603,Tanya Dua,Female,Kolkata,West Bengal,57127,Individual,Passport,P6473569,Commercial,2,14-07-2024,30-08-2024,25-07-2024,Pending,1879,Aniruddh Chopra,Installation completed
604,Eva Kade,Male,Delhi,Delhi,773160,Individual,Voter_Id,VOT619494,Commercial,38,08-06-2025,,26-07-2025,Pending,8713,Tushar Ravi,KYC failed
605,Piya Kakar,Male,Kolkata,West Bengal,28042,Individual,Voter_Id,VOT612146,Residential,44,11-05-2024,06-07-2024,25-07-2024,Approved,8672,Sana Sha,Installation pending
606,Kiaan Dixit,Female,Bangalore,Karnataka,59005,Individual,Passport,P2321269,Residential,20,01-06-2025,05-06-2025,30-06-2025,Connection Released,6245,Kiaan Taneja,Documents verification in progress
607,Lavanya Kalla,Male,Pune,Maharashtra,439047,Individual,PAN,vQcCU4961x,Residential,49,30-01-2025,11-02-2025,17-02-2025,Connection Released,4852,Gatik Jayaraman,Installation pending
608,Madhav Vasa,Female,Chennai,Tamil Nadu,865414,Individual,Aadhar,7.66E+11,Residential,7,31-05-2024,09-07-2024,13-07-2024,Rejected,1160,Mishti Sarna,Documents verification in progress
609,Shamik Bhasin,Female,Mumbai,Maharashtra,141858,Joint,Voter_Id,VOT913738,Residential,4,09-01-2025,10-02-2025,13-02-2025,Pending,9020,Lavanya Ram,Installation completed
610,Prisha Warrior,Female,Mumbai,Maharashtra,191469,Individual,Voter_Id,VOT550577,Commercial,19,14-01-2025,12-02-2025,14-04-2025,Pending,9150,Vedika Deo,Installation completed
611,Shanaya Basak,Female,Jaipur,Rajasthan,980872,Joint,Voter_Id,VOT509547,Residential,27,30-06-2024,25-08-2024,12-08-2024,Rejected,2107,Dhanush Agate,KYC failed
612,Ira Thakkar,Female,Pune,Maharashtra,571291,Joint,PAN,wBuvg6256o,Residential,32,28-07-2024,29-08-2024,23-09-2024,Connection Released,4468,Jayesh Tiwari,Documents verification in progress
613,Lakshit Raman,Female,Ahmedabad,Gujarat,935849,Individual,PAN,voWdj0383M,Residential,31,26-03-2024,,13-06-2024,Rejected,4332,Emir Kalla,Documents verification in progress
614,Indranil Sarkar,Female,Delhi,Delhi,709435,Joint,Voter_Id,VOT146382,Residential,10,30-03-2024,21-05-2024,14-05-2024,Approved,7418,Samiha Ram,Documents verification in progress
615,Jiya Gole,Male,Delhi,Delhi,775514,Individual,Passport,P9706203,Residential,11,26-10-2024,12-12-2024,01-12-2024,Approved,1015,Anvi Chokshi,KYC failed
616,Shlok Soni,Female,Lucknow,Uttar Pradesh,870607,Individual,PAN,Isegx4202Z,Commercial,38,02-05-2024,06-05-2024,14-07-2024,Rejected,5352,Biju Rattan,Installation pending
617,Anahi Chand,Female,Chennai,Tamil Nadu,520797,Joint,PAN,cVkZl5137j,Commercial,2,12-08-2024,23-08-2024,13-08-2024,Rejected,5311,Nishith Kade,Documents verification in progress
618,Eshani Bahl,Male,Delhi,Delhi,68847,Joint,PAN,rWdXD0357g,Commercial,5,25-05-2025,18-06-2025,08-06-2025,Connection Released,5176,Anya Chander,Installation completed
619,Madhav Upadhyay,Female,Chennai,Tamil Nadu,848027,Individual,Aadhar,5.30E+11,Commercial,35,30-10-2024,,14-11-2024,Rejected,8496,Armaan Kaur,Installation completed
620,Rhea Zachariah,Female,Lucknow,Uttar Pradesh,161225,Individual,Aadhar,1.61E+11,Commercial,3,06-12-2024,22-12-2024,21-12-2024,Approved,8166,Ritvik Dey,KYC failed
621,Miraya Sampath,Male,Chennai,Tamil Nadu,880560,Joint,Voter_Id,VOT683397,Residential,40,31-01-2024,17-03-2024,29-03-2024,Rejected,2480,Eva Kata,Installation completed
622,Reyansh Zachariah,Female,Lucknow,Uttar Pradesh,267148,Individual,Passport,P1064919,Residential,11,14-04-2025,04-06-2025,16-04-2025,Pending,9432,Devansh Lanka,Installation pending
623,Inaaya  Tailor,Female,Delhi,Delhi,548385,Joint,Passport,P8317806,Commercial,44,05-02-2025,04-04-2025,27-04-2025,Rejected,6763,Raunak Savant,Installation pending
624,Alia Balakrishnan,Male,Hyderabad,Telangana,321371,Joint,Voter_Id,VOT286801,Commercial,5,12-01-2024,26-02-2024,18-02-2024,Rejected,3799,Kanav Wali,Installation completed
625,Zain Vora,Female,Delhi,Delhi,435963,Joint,Voter_Id,VOT905152,Residential,6,30-11-2024,25-12-2024,26-01-2025,Connection Released,2005,Aniruddh Das,Installation pending
626,Aniruddh Arya,Female,Kolkata,West Bengal,97624,Joint,Voter_Id,VOT330885,Residential,19,10-04-2025,,27-04-2025,Connection Released,5225,Vivaan Solanki,Installation pending
627,Ojas Issac,Male,Bangalore,Karnataka,275849,Individual,PAN,TQCMU2772t,Residential,26,09-06-2025,06-07-2025,12-06-2025,Connection Released,2575,Aarav Vig,Documents verification in progress
628,Amira Bora,Male,Mumbai,Maharashtra,403819,Joint,Voter_Id,VOT847525,Commercial,29,23-07-2024,24-07-2024,17-10-2024,Pending,3725,Inaaya  Hayre,Installation completed
629,Kaira Reddy,Female,Mumbai,Maharashtra,379076,Individual,Voter_Id,VOT303790,Residential,3,28-11-2024,19-01-2025,29-11-2024,Approved,2350,Hunar Dass,KYC failed
630,Yuvaan Verma,Female,Pune,Maharashtra,41793,Individual,PAN,ADsSy9772B,Residential,11,28-05-2024,26-06-2024,03-07-2024,Pending,5746,Jayant Sridhar,Installation pending
631,Kiara Ramanathan,Male,Kolkata,West Bengal,67163,Individual,PAN,nQwvb4605u,Residential,26,20-08-2024,08-09-2024,23-09-2024,Approved,8933,Raunak Dada,Installation pending
632,Saira Dasgupta,Female,Lucknow,Uttar Pradesh,35521,Joint,Voter_Id,VOT238982,Commercial,43,30-11-2024,30-12-2024,08-12-2024,Rejected,4405,Siya Mangal,Installation pending
633,Hunar Andra,Female,Delhi,Delhi,85070,Individual,PAN,fMVuI1676L,Commercial,43,14-06-2024,26-06-2024,05-07-2024,Connection Released,9381,Drishya Sagar,Installation completed
634,Miraan Gade,Female,Hyderabad,Telangana,906653,Joint,Aadhar,6.44E+11,Residential,5,23-09-2024,02-11-2024,07-12-2024,Rejected,3418,Nishith Tara,Documents verification in progress
635,Indrans Bahri,Male,Ahmedabad,Gujarat,58865,Individual,Voter_Id,VOT883542,Residential,43,20-04-2024,10-06-2024,04-07-2024,Approved,7133,Shalv Borah,Installation pending
636,Jhanvi Chowdhury,Female,Bangalore,Karnataka,906506,Individual,PAN,KdVTZ0877n,Residential,6,03-07-2024,,31-08-2024,Rejected,6380,Vidur Kohli,Installation pending
637,Nishith Sibal,Male,Kolkata,West Bengal,218369,Joint,Voter_Id,VOT399759,Commercial,48,15-08-2024,05-09-2024,28-08-2024,Approved,5662,Yakshit Raja,Installation pending
638,Anaya Kibe,Male,Ahmedabad,Gujarat,938307,Joint,Passport,P5064171,Residential,42,22-05-2024,18-06-2024,07-08-2024,Pending,6526,Hazel Amble,Installation pending
639,Arnav Bhagat,Male,Chennai,Tamil Nadu,260460,Joint,Passport,P5656563,Residential,7,07-07-2024,,26-08-2024,Approved,2722,Rhea Mane,Documents verification in progress
640,Prerak Shroff,Male,Bangalore,Karnataka,312871,Joint,PAN,XbMLW5840d,Commercial,45,27-06-2025,14-07-2025,26-08-2025,Rejected,7790,Amani Mandal,Documents verification in progress
641,Ranbir Arora,Male,Kolkata,West Bengal,927643,Joint,Voter_Id,VOT177808,Commercial,5,17-08-2024,11-10-2024,12-11-2024,Approved,8501,Tushar Lall,Installation pending
642,Armaan Mane,Male,Delhi,Delhi,11684,Joint,PAN,qBHDW5417B,Commercial,37,19-06-2025,,21-06-2025,Approved,1300,Jayesh Dugar,KYC failed
643,Riaan Ben,Female,Pune,Maharashtra,362177,Individual,Aadhar,4.35E+11,Residential,30,27-03-2025,25-05-2025,16-06-2025,Rejected,3986,Indrajit Savant,Installation completed
644,Samaira Kota,Male,Delhi,Delhi,819580,Individual,Voter_Id,VOT977243,Commercial,11,18-08-2024,,26-09-2024,Rejected,5385,Ira Balan,Installation pending
645,Anaya Sagar,Female,Chennai,Tamil Nadu,807347,Joint,Voter_Id,VOT131095,Commercial,28,16-10-2024,28-11-2024,26-10-2024,Connection Released,9780,Ritvik Kant,KYC failed
646,Farhan Deol,Female,Hyderabad,Telangana,407928,Joint,Voter_Id,VOT137408,Residential,17,09-04-2024,,19-05-2024,Rejected,5041,Biju Karan,Documents verification in progress
647,Manjari Jani,Female,Hyderabad,Telangana,759038,Joint,PAN,IFYer2038w,Commercial,26,01-01-2024,11-01-2024,21-03-2024,Approved,2458,Samaira Bail,KYC failed
648,Fateh Venkatesh,Female,Ahmedabad,Gujarat,202794,Individual,PAN,JxHpJ8821Q,Residential,32,18-04-2024,,18-04-2024,Approved,9028,Adah Ben,Installation completed
649,Taimur Mangal,Male,Kolkata,West Bengal,549305,Joint,Aadhar,5.75E+11,Commercial,45,22-09-2024,02-11-2024,08-10-2024,Pending,3103,Ira Soman,Installation pending
650,Mahika Rau,Female,Lucknow,Uttar Pradesh,536471,Joint,Aadhar,69377948402,Residential,26,18-02-2024,13-04-2024,27-04-2024,Approved,9644,Samaira Dhar,Installation pending
651,Rohan Kurian,Female,Kolkata,West Bengal,845195,Individual,PAN,mgzrQ3615C,Residential,40,29-01-2024,03-03-2024,04-03-2024,Rejected,8830,Dhruv Sampath,Documents verification in progress
652,Jhanvi Garde,Female,Ahmedabad,Gujarat,366766,Joint,Aadhar,6.74E+11,Residential,6,23-06-2025,24-07-2025,27-07-2025,Approved,9518,Suhana Srinivas,Documents verification in progress
653,Dishani Garg,Male,Lucknow,Uttar Pradesh,179651,Individual,Passport,P6600660,Residential,33,27-01-2025,28-01-2025,31-01-2025,Pending,4895,Elakshi Rama,KYC failed
654,Charvi Dugar,Female,Lucknow,Uttar Pradesh,278923,Individual,Voter_Id,VOT168221,Commercial,41,06-06-2025,18-07-2025,16-06-2025,Pending,7255,Inaaya  Keer,Documents verification in progress
655,Jayant Soman,Female,Mumbai,Maharashtra,860755,Joint,PAN,pYAXu4129C,Residential,23,19-12-2024,03-02-2025,18-03-2025,Approved,1883,Lakshay De,Installation completed
656,Tara Gole,Female,Ahmedabad,Gujarat,334919,Individual,Aadhar,8.14E+11,Commercial,11,27-11-2024,,19-02-2025,Approved,2322,Damini Varughese,Documents verification in progress
657,Aniruddh Bhalla,Male,Chennai,Tamil Nadu,345389,Individual,Voter_Id,VOT689362,Residential,18,30-06-2024,01-08-2024,15-08-2024,Pending,4503,Kimaya Luthra,Installation completed
658,Khushi Sarma,Male,Ahmedabad,Gujarat,500574,Joint,Aadhar,5.41E+11,Commercial,4,24-12-2024,06-01-2025,28-12-2024,Approved,7698,Nirvaan Lall,Installation completed
659,Chirag Varkey,Female,Kolkata,West Bengal,423917,Individual,PAN,tERcm8984Q,Residential,20,01-06-2025,,22-07-2025,Connection Released,1619,Hazel Chahal,Installation pending
660,Tarini Ramachandran,Male,Ahmedabad,Gujarat,354492,Individual,PAN,ofNxi0761w,Commercial,21,10-12-2024,22-12-2024,16-01-2025,Approved,5259,Piya Dara,Documents verification in progress
661,Nitara Kashyap,Female,Delhi,Delhi,367885,Individual,PAN,VmMxf5586i,Residential,21,20-04-2024,15-05-2024,19-07-2024,Approved,2001,Ishaan Aggarwal,Documents verification in progress
662,Hridaan Venkataraman,Male,Jaipur,Rajasthan,166763,Joint,Voter_Id,VOT293292,Commercial,1,21-06-2025,13-08-2025,21-06-2025,Approved,7919,Heer Malhotra,Documents verification in progress
663,Hazel Ramesh,Male,Pune,Maharashtra,647860,Individual,Aadhar,2.59E+11,Commercial,28,24-09-2024,06-11-2024,12-12-2024,Pending,6325,Madhav Badal,Installation pending
664,Ritvik Venkatesh,Female,Chennai,Tamil Nadu,171785,Joint,PAN,xMpYF6478X,Commercial,41,07-06-2024,,06-07-2024,Connection Released,4811,Zeeshan Mahal,KYC failed
665,Pranay Jayaraman,Male,Bangalore,Karnataka,972140,Individual,Aadhar,11474178443,Commercial,39,20-05-2024,09-07-2024,25-07-2024,Approved,2376,Rhea Dugar,Installation pending
666,Vidur Thaker,Female,Hyderabad,Telangana,910928,Joint,Aadhar,4.04E+11,Commercial,15,02-11-2024,,30-11-2024,Rejected,1059,Pari Sura,Installation pending
667,Vidur Kaur,Female,Jaipur,Rajasthan,735077,Individual,Aadhar,5.02E+11,Residential,12,05-08-2024,22-08-2024,31-10-2024,Pending,2488,Manjari Ganguly,Installation pending
668,Keya Khurana,Male,Jaipur,Rajasthan,90933,Individual,Voter_Id,VOT957441,Residential,2,03-05-2025,02-07-2025,31-07-2025,Approved,6009,Hazel Shroff,Installation completed
669,Jivin Upadhyay,Male,Mumbai,Maharashtra,770082,Joint,Passport,P1497146,Commercial,19,07-01-2025,03-02-2025,07-02-2025,Pending,9642,Rania Yohannan,KYC failed
670,Lagan Sathe,Female,Ahmedabad,Gujarat,162032,Individual,Aadhar,2.92E+11,Residential,50,24-01-2024,20-03-2024,22-02-2024,Pending,6579,Kabir Kunda,Installation pending
671,Chirag Sahni,Male,Bangalore,Karnataka,367307,Individual,Passport,P8140871,Commercial,34,02-12-2024,07-01-2025,15-12-2024,Connection Released,3719,Hazel Choudhry,Documents verification in progress
672,Kavya Solanki,Female,Jaipur,Rajasthan,174188,Individual,Passport,P4033424,Residential,41,20-08-2024,03-09-2024,17-10-2024,Rejected,6353,Pranay Sandal,Documents verification in progress
673,Nehmat Varty,Male,Jaipur,Rajasthan,580308,Joint,Voter_Id,VOT429406,Commercial,46,08-06-2024,25-06-2024,08-08-2024,Connection Released,2625,Vardaniya Dugar,KYC failed
674,Bhavin Chandran,Male,Delhi,Delhi,172083,Joint,Aadhar,4.69E+11,Residential,47,05-01-2025,,19-02-2025,Rejected,8778,Veer Sibal,Documents verification in progress
675,Bhavin Iyengar,Female,Ahmedabad,Gujarat,207773,Individual,Passport,P7170769,Residential,29,29-03-2024,08-05-2024,24-06-2024,Pending,4763,Nayantara Chakraborty,Installation completed
676,Zoya Jha,Male,Pune,Maharashtra,61086,Joint,Passport,P3153761,Residential,2,29-02-2024,18-03-2024,23-04-2024,Pending,6472,Myra Rajagopalan,Installation completed
677,Ela Kala,Male,Chennai,Tamil Nadu,69479,Individual,PAN,YYSmD6558h,Commercial,27,31-07-2024,19-08-2024,16-09-2024,Rejected,3843,Biju Contractor,KYC failed
678,Diya Subramanian,Female,Lucknow,Uttar Pradesh,110065,Joint,Passport,P9127567,Residential,39,10-07-2024,04-09-2024,15-08-2024,Rejected,4195,Nehmat Golla,KYC failed
679,Dhruv Andra,Male,Chennai,Tamil Nadu,376928,Individual,Passport,P1603600,Commercial,17,17-05-2024,16-07-2024,04-08-2024,Connection Released,7118,Vedika Sawhney,Documents verification in progress
680,Nitara Mani,Female,Delhi,Delhi,173204,Individual,Voter_Id,VOT334618,Commercial,44,15-01-2025,24-02-2025,23-01-2025,Approved,9290,Prerak Ahuja,KYC failed
681,Ela Ramachandran,Female,Jaipur,Rajasthan,321294,Individual,PAN,GrFZY7701p,Commercial,29,12-01-2025,23-02-2025,09-04-2025,Pending,7230,Anvi Mangal,Installation pending
682,Yakshit Chad,Male,Hyderabad,Telangana,587386,Individual,Passport,P8341977,Residential,26,05-12-2024,09-12-2024,24-02-2025,Approved,1404,Arnav Sanghvi,Installation completed
683,Khushi Kala,Male,Hyderabad,Telangana,497833,Joint,Aadhar,8.82E+11,Residential,32,03-12-2024,,18-02-2025,Approved,8113,Siya Ramakrishnan,KYC failed
684,Eshani Hora,Male,Chennai,Tamil Nadu,375925,Individual,Voter_Id,VOT115857,Commercial,31,20-10-2024,22-11-2024,07-01-2025,Pending,3946,Samiha Ganesan,Installation pending
685,Hunar Ram,Male,Jaipur,Rajasthan,983602,Joint,Voter_Id,VOT248340,Commercial,50,14-11-2024,11-01-2025,18-01-2025,Approved,3959,Dharmajan Sankaran,Documents verification in progress
686,Baiju Baral,Female,Jaipur,Rajasthan,242851,Individual,Aadhar,9.91E+11,Residential,42,16-01-2024,02-02-2024,22-01-2024,Pending,8130,Ishita Sami,KYC failed
687,Ivan Bali,Female,Bangalore,Karnataka,160097,Joint,PAN,gZIFO2137e,Commercial,38,04-06-2025,23-06-2025,16-07-2025,Connection Released,7266,Kiara Bhasin,KYC failed
688,Nirvaan Bali,Female,Kolkata,West Bengal,490722,Joint,Passport,P9135013,Residential,25,10-02-2024,07-03-2024,31-03-2024,Rejected,2485,Advika Dhaliwal,Installation pending
689,Gokul Krishnan,Male,Ahmedabad,Gujarat,179686,Joint,Voter_Id,VOT288004,Commercial,10,04-04-2024,04-05-2024,05-05-2024,Approved,3878,Ehsaan Hegde,Installation pending
690,Aaryahi Bali,Female,Hyderabad,Telangana,320845,Joint,PAN,Knpvv7566D,Residential,26,24-07-2024,28-08-2024,29-07-2024,Rejected,3239,Hunar Bhagat,Documents verification in progress
691,Ishaan Tata,Female,Hyderabad,Telangana,277068,Joint,PAN,ZDJco7396L,Commercial,16,28-04-2025,12-05-2025,17-06-2025,Connection Released,5139,Tushar Gala,Installation completed
692,Biju Bhatt,Male,Delhi,Delhi,28092,Joint,Voter_Id,VOT832411,Commercial,29,04-04-2024,30-04-2024,05-05-2024,Pending,5948,Indrajit Goyal,KYC failed
693,Myra Ramakrishnan,Male,Ahmedabad,Gujarat,880601,Joint,Aadhar,8.73E+11,Commercial,5,08-09-2024,09-10-2024,11-09-2024,Rejected,2846,Samar Banik,Installation pending
694,Elakshi Hegde,Male,Bangalore,Karnataka,639226,Joint,PAN,InZvb2777Z,Residential,28,09-05-2024,,15-06-2024,Approved,1638,Mishti Shankar,KYC failed
695,Kabir Kalita,Female,Jaipur,Rajasthan,883659,Individual,Passport,P3352968,Residential,31,18-09-2024,21-09-2024,19-09-2024,Connection Released,9102,Faiyaz Khanna,Installation pending
696,Neelofar Chandra,Male,Jaipur,Rajasthan,524140,Joint,Voter_Id,VOT882130,Residential,33,26-05-2025,01-06-2025,07-07-2025,Pending,9291,Nitara Sandhu,Documents verification in progress
697,Stuvan Gera,Male,Kolkata,West Bengal,885103,Joint,Voter_Id,VOT584603,Commercial,40,08-02-2025,17-02-2025,02-03-2025,Pending,1227,Ivana Agate,Installation pending
698,Aradhya Wali,Male,Lucknow,Uttar Pradesh,183918,Joint,Voter_Id,VOT498601,Commercial,46,03-03-2025,23-04-2025,05-04-2025,Rejected,9638,Amani Hayer,Installation pending
699,Abram Chaudhary,Female,Chennai,Tamil Nadu,867468,Individual,Aadhar,3.68E+11,Residential,9,07-06-2024,25-06-2024,13-08-2024,Rejected,9702,Reyansh Vig,Installation completed
700,Samiha Virk,Male,Jaipur,Rajasthan,664901,Individual,Passport,P5982590,Residential,36,30-01-2025,23-02-2025,25-02-2025,Pending,3632,Vihaan Goel,Documents verification in progress
701,Rohan Bala,Male,Ahmedabad,Gujarat,205100,Joint,Voter_Id,VOT170869,Commercial,34,25-02-2024,,04-05-2024,Connection Released,2611,Hansh Madan,KYC failed
702,Jayan Gupta,Male,Kolkata,West Bengal,313435,Individual,Aadhar,1.11E+11,Commercial,43,25-09-2024,20-10-2024,26-10-2024,Connection Released,3943,Trisha Raman,Documents verification in progress
703,Vanya Bora,Female,Delhi,Delhi,755013,Joint,PAN,cZqiL5393I,Commercial,30,04-11-2024,05-12-2024,29-11-2024,Pending,8942,Jivin Buch,Installation pending
704,Lagan Konda,Male,Lucknow,Uttar Pradesh,549506,Individual,PAN,lVBwl1677U,Commercial,18,12-08-2024,11-10-2024,18-09-2024,Connection Released,6521,Shayak Din,Documents verification in progress
705,Vidur Balakrishnan,Male,Ahmedabad,Gujarat,908299,Individual,Passport,P2188003,Residential,43,29-01-2025,16-03-2025,10-03-2025,Rejected,8492,Yashvi Gour,Installation completed
706,Hrishita Setty,Female,Pune,Maharashtra,294336,Joint,Voter_Id,VOT126070,Commercial,46,02-10-2024,28-10-2024,19-11-2024,Rejected,8742,Ela Varkey,Installation pending
707,Piya Raman,Male,Delhi,Delhi,125781,Joint,Aadhar,7.17E+11,Commercial,44,30-08-2024,26-10-2024,04-09-2024,Pending,1910,Kismat Maharaj,KYC failed
708,Suhana Raman,Male,Delhi,Delhi,501185,Joint,Voter_Id,VOT111733,Residential,20,13-06-2024,,17-07-2024,Approved,3379,Anahita Kale,Installation pending
709,Hiran Behl,Female,Bangalore,Karnataka,216019,Joint,PAN,xQytU8105I,Commercial,6,10-05-2024,04-07-2024,07-06-2024,Approved,6721,Armaan Dubey,Installation pending
710,Gokul Majumdar,Female,Pune,Maharashtra,484711,Individual,Voter_Id,VOT418089,Residential,35,13-02-2024,18-03-2024,13-05-2024,Approved,4849,Tanya Kapadia,Installation completed
711,Anay Jaggi,Female,Kolkata,West Bengal,57146,Individual,Aadhar,3.68E+11,Commercial,45,16-05-2025,25-06-2025,18-05-2025,Approved,5810,Kanav Sem,Documents verification in progress
712,Shayak Thakkar,Female,Lucknow,Uttar Pradesh,402214,Joint,Passport,P1585287,Residential,4,18-04-2024,30-05-2024,11-07-2024,Rejected,7764,Onkar Tak,Installation completed
713,Shalv Baria,Male,Delhi,Delhi,32999,Individual,Passport,P4734028,Commercial,15,02-06-2024,19-07-2024,27-07-2024,Rejected,8403,Elakshi Saini,KYC failed
714,Madhav Dugar,Male,Pune,Maharashtra,64260,Joint,PAN,JCVTn2528H,Residential,21,01-04-2024,,28-06-2024,Pending,2601,Kashvi Sharaf,KYC failed
715,Misha Goda,Female,Hyderabad,Telangana,136616,Joint,Aadhar,6.88E+11,Commercial,9,03-08-2024,25-09-2024,21-09-2024,Rejected,7466,Kismat Halder,Installation pending
716,Aayush Rout,Female,Mumbai,Maharashtra,967848,Joint,Aadhar,1.60E+11,Commercial,17,04-02-2025,11-03-2025,10-04-2025,Pending,1930,Renee Zachariah,Installation completed
717,Advika Ganesh,Male,Ahmedabad,Gujarat,584099,Individual,PAN,tgLEx4554b,Commercial,27,29-10-2024,20-12-2024,26-01-2025,Rejected,3082,Yakshit Ranganathan,KYC failed
718,Kimaya Tandon,Female,Pune,Maharashtra,876800,Individual,PAN,hUFWB8489X,Residential,49,09-10-2024,02-12-2024,27-11-2024,Rejected,1123,Akarsh Grover,KYC failed
719,Vanya Venkatesh,Male,Delhi,Delhi,108183,Joint,Voter_Id,VOT819326,Residential,20,27-01-2024,17-02-2024,21-02-2024,Rejected,7015,Tiya Dhaliwal,KYC failed
720,Sara Tandon,Male,Jaipur,Rajasthan,854826,Joint,Voter_Id,VOT131179,Commercial,6,03-12-2024,15-12-2024,13-02-2025,Approved,4661,Navya Chowdhury,Documents verification in progress
721,Renee Rattan,Female,Ahmedabad,Gujarat,346983,Joint,Passport,P8726676,Residential,35,26-10-2024,04-12-2024,26-12-2024,Rejected,4474,Mahika De,Installation pending
722,Suhana Kaur,Female,Chennai,Tamil Nadu,776234,Individual,Voter_Id,VOT160718,Residential,31,06-07-2024,26-07-2024,27-09-2024,Rejected,3631,Kabir Thaker,Installation completed
